id,gtin,mpn,sku,name
pcmg_408,192545628495,4HZ48UTABA,41186227,HP Inc. Smart Buy EliteBook 755 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 15.6in FHD UWA 220 nit Touch; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-cell; 56 WHr Li-ion (4HZ48UTABA)
howardcomputer_953,192545628525,4HZ51UTABA,,HP EliteBook 755 G5
massgenie_410,192545628525,,ZE0XDBS5BURVCPDL,HP 4HZ51UT-ABA EliteBook 755 G5 AMD Ryzen5 2500U 8GB 256GB W10P64 15.6 in. Full HD
antonline_284,192545628525,,,HP EliteBook 755 G5 15.6in LCD Notebook
kaizyr_112,192545628525,,DC4HZ51UTCA,EB755G5 R5-2500U 15 8GB-256 PC
pcmg_407,192545628525,4HZ51UTABA,41186226,HP Inc. Smart Buy EliteBook 755 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 15.6in FHD UWA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-cell; 56 WHr Li-ion (4HZ51UTABA)
massgenie_798,192545628549,,S5R9ZELBFKKR3PB5,Hp business 4hz53utaba 755g5 r7-2700u 15 16gb/512 pc
antonline_240,192545628549,,,HP EliteBook 755 G5 15.6in LCD Notebook
pcmg_131,192545628549,4HZ53UTABA,41186229,HP Inc. Smart Buy EliteBook 755 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 16GB RAM; 512GB SSD; 15.6in FHD UWA 400 nit; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-cell 56 WHr Li-ion (4HZ53UTABA)
massgenie_942,192545628556,,LEI2T6HX6UXDA2IK,Hp business 4hz54utaba 755g5 r7-2700u 15 8gb/256 pc
techcrave_104,192545628556,,,HP 4HZ54UTABA SBUY EB755G5/R7-2700U/15/8GB/256GB
antonline_283,192545628556,,,HP EliteBook 755 G5 15.6in LCD Notebook
pcmg_368,192545628556,4HZ54UTABA,41186228,HP Inc. Smart Buy EliteBook 755 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 15.6in FHD UWA 400 nit; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-cell 56 WHr Li-ion (4HZ54UTABA)
buydig_315,192545628556,,,Hewlett Packard 755G5 R7-2700U 15 8GB/256 PC
howardcomputer_1023,192545628563,4HZ55UTABA,,HP EliteBook 735 G5
antonline_281,192545628587,,,HP EliteBook 735 G5 13.3in LCD Notebook
pcmg_365,192545628587,4HZ57UTABA,41186174,HP Inc. Smart Buy EliteBook 735 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 13.3in Touchscreen LED FHD; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD Webcam; 3-Cell 50 WHr Li-Ion Polymer (4HZ57UTABA)
massgenie_927,192545628600,,BBNEN63D4ROTEEML,Hp business 4hz58utaba 735g5 r7-2700u 13 8gb/256 pc
antonline_238,192545628600,,,HP EliteBook 735 G5 13.3in Touchscreen LCD Notebook
howardcomputer_1989,192545628709,4HZ62UTABA,,HP EliteBook 735 G5
massgenie_943,192545628709,,9F70F3B7463BF640,Hp business 4hz62utaba 735g5 r7-2700u 13 8gb/256 pc
techcrave_105,192545628709,,,HP 4HZ62UTABA SBUY EB735G5/R7-2700U/13/8GB/256GB
antonline_126,192545628709,,,HP EliteBook 735 G5 13.3in LCD Notebook
pcmg_404,192545628709,4HZ62UTABA,41186186,HP Inc. Smart Buy EliteBook 735 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 13.3in LED FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 WHr Li-Ion Polymer (4HZ62UTABA)
buydig_348,192545628709,,,Hewlett Packard 735G5 R7-2700U 13 8GB/256 PC
pcmg_366,192545639774,4JB78UTABA,41186220,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 14in Touchscreen LED FHD UWVA; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB78UTABA)
howardcomputer_1153,192545639835,4JB83UTABA,,HP EliteBook 745 G5
antonline_157,192545639835,,,HP EliteBook 745 G5 14in LCD Notebook
pcmg_406,192545639835,4JB83UTABA,41186219,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 14in FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB83UTABA)
howardcomputer_2137,192545639897,4JB90UTABA,,HP EliteBook 745 G5
massgenie_921,192545639897,,EORJNTUX5NFJVICU,Hp business 4jb90utaba 745g5 r7-2700u 14 8gb/256 pc
techcrave_106,192545639897,,,HP 4JB90UTABA SBUY EB745G5/R7-2700U/14/8GB/256GB
antonline_179,192545639897,,,HP EliteBook 745 G5 14in LCD Notebook
kaizyr_110,192545639897,,DC4JB90UTCA,EB745G5 R7-2700U 14 8GB-256 PC U.S. - English localization
pcmg_259,192545639897,4JB90UTABA,41186222,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 14in FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB90UTABA)
buydig_464,192545639897,,,Hewlett Packard 745G5 R7-2700U 14 8GB/256 PC
howardcomputer_1063,192545639910,4JB92UTABA,,HP EliteBook 745 G5
antonline_137,192545639910,,,HP EliteBook 745 G5 14in LCD Notebook
pcmg_405,192545639910,4JB92UTABA,41186218,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 14in LED FHD UWVA; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB92UTABA)
howardcomputer_1265,192545639941,4JB95UTABA,,HP EliteBook 745 G5
massgenie_962,192545639941,,SOBN1IUQCMZBBELF,Hp business 4jb95utaba 745g5 r7-2700u 14 8gb/256 pc
techcrave_107,192545639941,,,HP 4JB95UTABA SBUY EB745G5/R7-2700U/14/8GB/256GB
antonline_178,192545639941,,,HP EliteBook 745 G5 14in LCD Notebook
kaizyr_111,192545639941,,DC4JB95UTCA,EB745G5 R7-2700U 14 8GB-256 PC U.S. - English localization
pcmg_258,192545639941,4JB95UTABA,41186221,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 14in LED FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB95UTABA)
buydig_162,192545639941,,,Hewlett Packard 745G5 R7-2700U 14 8GB/256 PC
howardcomputer_1819,192545639958,4JB96UTABA,,HP EliteBook 745 G5
antonline_163,192545639958,,,HP EliteBook 745 G5 14in LCD Notebook
pcmg_356,192545639958,4JB96UTABA,41186215,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 3 2300U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 128GB SSD; 14in LED FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JB96UTABA)
howardcomputer_2273,192545640015,4JC02UTABA,,HP EliteBook 745 G5
massgenie_787,192545640015,,QHGEQU4XUTAHSG6I,Hp business 4jc02utaba 745g5 r7-2700u 14 16gb/512 pc
antonline_239,192545640015,,,HP EliteBook 745 G5 14in Touchscreen LCD Notebook
pcmg_357,192545640015,4JC02UTABA,41186223,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 16GB RAM; 512GB SSD; 14in Touchscreen LED FHD UWVA; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JC02UTABA)
buydig_465,192545640015,,,Hewlett Packard 745G5 R7-2700U 14 16GB/512 PC
massgenie_808,192545640046,,QF9TIWYIQYF5NEQL,Hp business 4jc05utaba 745g5 r7-2700u 14 16gb/512 pc
antonline_175,192545640046,,,HP EliteBook 745 G5 14in Touchscreen LCD Notebook
pcmg_650,192545640046,4JC05UTABA,41186224,HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 16GB RAM; 512GB SSD; 14in LED FHD UWVA; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD IR Webcam; 3-Cell 50 Wh Li-Ion Polymer (4JC05UTABA)
buydig_466,192545640046,,,Hewlett Packard 745G5 R7-2700U 14 16GB/512 PC
kaizyr_109,192545640527,,DC4JB90UTBCA,EB745G5 R7-2700U 14 8GB-256 PC Canada - English localization
howardcomputer_1865,192545644389,4JD52UTABA,,HP EliteBook 735 G5
antonline_280,192545644389,,,HP EliteBook 735 G5 13.3in LCD Notebook
pcmg_361,192545644389,4JD52UTABA,41186169,HP Inc. Smart Buy EliteBook 735 G5 AMD Ryzen 5 2500U Quad-Core 2GHz UltraThin Notebook PC - 8GB RAM; 256GB SSD; 13.3in LED FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Bluetooth 4.2; 720p HD Webcam; 3-Cell 50 WHr Li-Ion Polymer (4JD52UTABA)
buydig_236,192545695572,,,Hewlett Packard REFURB TS 17.3 i5 12G 1T 530
computerdealsdirect_5,192545695619,,,HP ENVY x360 13m-ag0002dx - AMD Ryzen 7 - 2.20GHz; 8GB RAM; 256GB SSD; 13.3in Touchscreen
computerdealsdirect_5,192545695619,,,HP ENVY x360 13m-ag0002dx - AMD Ryzen 7 - 2.20GHz; 8GB RAM; 256GB SSD; 13.3in Touchscreen
computerdealsdirect_10,192545695985,,,HP ENVY x360 15m-cp0011dx - Ryzen 5 - 2.0GHz; 8GB RAM; 128GB SSD; 15.6in Touchscreen
computerdealsdirect_10,192545695985,,,HP ENVY x360 15m-cp0011dx - Ryzen 5 - 2.0GHz; 8GB RAM; 128GB SSD; 15.6in Touchscreen
buydig_243,192545695985,,,Hewlett Packard REFURB TS 15.6 RYZ5 8G 128G
howardcomputer_901,192545696968,4LB42UTABA,,HP ProBook 645 G4
antonline_136,192545696968,,,HP ProBook 645 G4 14in LCD Notebook
buydig_499,192545696968,,,Hewlett Packard 645G4 R7-2700U 14 8GB/256 PC
howardcomputer_1857,192545697033,4LB46UTABA,,HP ProBook 645 G4
antonline_200,192545697033,,,HP ProBook 645 G4 14in LCD Notebook
pcmg_360,192545697033,4LB46UTABA,41186127,HP Inc. Smart Buy ProBook 645 G4 AMD Ryzen 5 2500U Quad-Core 2GHz Notebook PC - 8GB DDR4 SDRAM; 256GB SSD; 14in LED HD SVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Blutooth 4.2; 720p HD Webcam; Microsoft Windows 10 Pro 64-bit (4LB46UTABA)
buydig_452,192545697033,,,Hewlett Packard 14in ProBook 645G4 R52500U
antonline_132,192545697040,,,HP ProBook 645 G4 14in LCD Notebook
pcmg_359,192545697040,4LB47UTABA,41186115,HP Inc. Smart Buy ProBook 645 G4 AMD Ryzen 3 2300U Quad-Core 2GHz Notebook PC - 4GB DDR4 SDRAM; 500GB HDD; 14in LED HD; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Blutooth 4.2; 720p HD Webcam; Microsoft Windows 10 Pro 64-bit (4LB47UTABA)
antonline_164,192545697125,,,HP ProBook 645 G4 14in LCD Notebook
kaizyr_173,192545697125,,DC4LB50UTCA,PB645G4 R5-2500U 14 8GB-500 PC
pcmg_168,192545697125,4LB50UTABA,41186117,HP Inc. Smart Buy ProBook 645 G4 AMD Ryzen 5 2500U Quad-Core 2GHz Notebook PC - 8GB DDR4 SDRAM; 500GB HDD; 14in LED HD SVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Blutooth 4.2; 720p HD Webcam; Microsoft Windows 10 Pro 64-bit (4LB50UTABA)
techcrave_109,192545697873,,,HP 4LB67UTABA SBUY mt44/R3-2300U/14/8GB/128GB
antonline_247,192545697873,,,HP Mt44 14in LCD Thin Client Notebook
kaizyr_171,192545699105,,DC4LB46UTBCA,PB645G4 R5-2500U 14 8GB-256 PC
howardcomputer_979,192545699204,4LC09UTABA,,HP ProBook 645 G4
antonline_282,192545699204,,,HP ProBook 645 G4 14in LCD Notebook
kaizyr_172,192545699204,,DC4LC09UTCA,PB645G4 R5-2500U 14 8GB-256 PC
pcmg_355,192545699204,4LC09UTABA,41186139,HP Inc. Smart Buy ProBook 645 G4 AMD Ryzen 5 2500U Quad-Core 2GHz Notebook PC - 8GB DDR4 SDRAM; 256GB SSD; 14in LED FHD UWVA; AMD Radeon Vega Graphics; 10/100/1000; Intel 8265 AC 2x2 WiFi + Blutooth 4.2; 720p HD Webcam; Microsoft Windows 10 Pro 64-bit (4LC09UTABA)
buydig_245,192545717298,,,Hewlett Packard REFURB 17.3 i3 8G 1T W10
antonline_168,192545737630,,,HP ENVY x360 15-bq100 15-bq110nr 15.6in Touchscreen LCD 2 in 1 Notebook
buydig_111,192545737630,,,Hewlett Packard 15in FHD IPS Display ENVY x360 2-in-1 Laptop - 4LU05UAABA
massgenie_396,192545790055,,WZIY8GWNMQSSQP2E,Hp business 4nc54utaba eb1050g1 i58300h 8g 256gb 15.6
antonline_191,192545790055,,,HP EliteBook 1050 G1 15.6in LCD Notebook
pcmg_409,192545790055,4NC54UTABA,41232939,HP Inc. SmartBuy EliteBook 1050 G1 i5-8300H 2.3GHz; 8GB RAM; 256GB HD; 15.6in; Windows 10 Pro (4NC54UTABA)
howardcomputer_1297,192545790062,4NC55UTABA,,HP EliteBook 1050 G1
massgenie_240,192545790062,,RFFWWSZR0FHJRAKM,Hp business 4nc55utaba eb1050g1 i78750h 16g 256g 15.6
antonline_196,192545790062,,,HP EliteBook 1050 G1 15.6in LCD Notebook
kaizyr_105,192545790062,,DC4NC55UTCA,EB1050G1 7i-8750H 15 16GB-256
pcmg_528,192545790062,4NC55UTABA,41219616,HP Inc. EliteBook 1050 G1 8th Gen Intel Core i7 8750H 2.2 GHz; 16GB RAM; 256GB SSD NVMe; TLC - 15.6in IPS 1920 x 1080 (Full HD) - NVIDIA GeForce GTX 1050 - Wi-Fi; NFC; Bluetooth - pike silver - kbd: US; Windows 10 Pro 64-bit (4NC55UTABA)
kaizyr_106,192545790147,,DC4NC54UTBCA,EB1050G1 i5-8300H 15 8GB-256 P
antonline_78,192545798174,,,HP ZBook 15v G5 15.6in LCD Mobile Workstation
kaizyr_212,192545798174,,DC4NH65UTCA,ZB15vG5 i58300H 15 8GB 256 PC US - English localization
buydig_349,192545798174,,,Hewlett Packard 15.6in ZB15G5 i58300H 8GB 256
massgenie_945,192545798198,,LRYOGLWRWBJJ6YIM,HP 4NH67UT-ABA 15.6 in. 16GB ZBook 15vG5 ii58300H Mobile Workstation
massgenie_946,192545798198,,VVWDMD4GJLGRTEYC,HP 4NH67UT 15.6 in. 16GB ZBook 15vG5 ii58300H Mobile Workstation
antonline_97,192545798198,,,HP ZBook 15v G5 15.6in LCD Mobile Workstation
kaizyr_210,192545798198,,DC4NH67UTCA,ZB15vG5 i58300H 15 16GB 256 PC US - English localization
buydig_209,192545798198,,,Hewlett Packard 15.6in ZBook 15vG5 ii58300H 16
antonline_231,192545798266,,,HP ZBook 15v G5 15.6in Touchscreen LCD Mobile Workstation
kaizyr_209,192545798266,,DC4NH69UTCA,ZB15vG5 i58300H 15 16GB 256 PC US - English localization
massgenie_913,192545798280,,FD0C857184DAB9CF,HP 4NH70UT-ABA ZBook 15v G5 i5-8300H 8GB 256GB P600 GFX W10P64 15.6 in. Full HD
techcrave_112,192545798280,,,HP 4NH70UTABA SBUY 15v G5/i5-8300H/8G/256G
kaizyr_213,192545798280,,DC4NH70UTCA,ZB15vG5 i58300H 15 8GB256 PC US - English localization
buydig_350,192545798280,,,Hewlett Packard ZBk5 15  i5 8300 256G 8G W10
massgenie_407,192545798297,,Q0EHMLAMBZV8VW0K,HP 4NH71UT-ABA 15.6 in. 16GB ZBook 15vG5 i78850H Mobile Workstation
massgenie_408,192545798297,,BJQN70MTHJBFQWEL,HP 4NH71UT 15.6 in. 16GB ZBook 15vG5 i78850H Mobile Workstation
massgenie_487,192545798297,,FK4EILOUEAYPV46T,Hp commercial specialty 4nh71utaba 15.6 zbook 15vg5 i78850h 16gb
antonline_151,192545798297,,,HP ZBook 15v G5 15.6in Touchscreen LCD Mobile Workstation
buydig_345,192545798297,,,Hewlett Packard 15.6in ZBook 15vG5 i78850H 16GB
massgenie_319,192545798310,,L52XVTSJSX9NQARX,HP 4NH72UT-ABA ZBook 15v G5 E-2176M 16GB 256GB P600 GFX W10P64 15.6 in. Full HD Touch
massgenie_412,192545798310,,XGJWTTOHDGC0EJV3,Hp commercial specialty 4nh72utaba 15.6 zbook 15vg5 e2176m 16gb
techcrave_114,192545798310,,,HP 4NH72UTABA SBUY 15v G5/E-2176M/16G/256G
antonline_127,192545798310,,,HP ZBook 15v G5 15.6in Touchscreen Mobile Workstation
buydig_346,192545798310,,,Hewlett Packard 15.6in ZBook 15vG5 E2176M 16GB
antonline_146,192545798730,,,HP ZBook Studio G5 15.6in LCD Mobile Workstation
pcmg_571,192545798730,4NH77UTABA,41227073,HP Inc. ZBook Studio G5 HP IDS DSC i5-8300H Studio G5 Base NB PC 2.30GHz; 8GB (1x8GB) DDR4 2666; 256GB PCIe NVMe Three Layer Cell Solid State Drive; 15.6 inch FHD (1920x1080) Anti-Glare LED UWVA for HD Webcam slim ALSensor; Windows 10 Pro 64 (4NH77UTABA)
buydig_410,192545798730,,,Hewlett Packard 15.6in ZBSG5 i58300H 8GB 256
antonline_144,192545798761,,,HP ZBook Studio G5 15.6in LCD Mobile Workstation
pcmg_540,192545798761,4NH78UTABA,41227075,HP Inc. ZBook Studio G5 BU IDS DSC E-2176M Studio G5 2.70 GHz; 16GB (1x16GB) DDR4 2666; 512GB PCIe NVMe Three Layer Cell Solid State Drive; 15.6 inch FHD (1920x1080) Anti-Glare LED UWVA for HD Webcam + IR uslim Privacy; Windows 10 Pro 64 (4NH78UTABA)
techcrave_115,192545806688,,,HP 4NL00UTABA SBUY ZB X360 I7-8750H 8GB/256
antonline_152,192545806688,,,HP ZBook Studio x360 G5 15.6in Touchscreen LCD 2 in 1 Mobile Workstation
techcrave_116,192545806725,,,HP 4NL02UTABA SBUY ZB X360 I5-8300H 8GB/256
antonline_236,192545806725,,,HP ZBook Studio x360 G5 15.6in Touchscreen LCD 2 in 1 Mobile Workstation
techcrave_117,192545806923,,,HP 4NL13UTABA SBUY ZB X360 I7-8750H 16GB/512
antonline_170,192545806923,,,HP ZBook Studio x360 G5 15.6in Touchscreen LCD 2 in 1 Mobile Workstation
pcmg_606,192545806923,4NL13UTABA,41227067,HP Inc. ZBook Studio x360 G5 8th Gen Intel Core i7-8750H 6-Core 2.20GHz Convertible Notebook PC - 16GB RAM (2x4GB); 512GB NVMe SSD; 15.6in 4K (3840x2160) IPS LED-backlit Anti-glare Touchscreen Display; UHD Graphics 630/Quadro P1000; WiFi+BT; Windows 10 Pro 64 (4NL13UTABA)
massgenie_811,192545806978,,RZUXPMPE6ZVT9Y0U,HP 4NL15UT-ABA ZBook 15v G5 i7-8750H 8GB 256GB P600 GFX W10P64 15.6 in. Full HD Touch
